watermark,is_custom_deck,draw_before,number_to_play,card_text
ADM,t,0,1,Sorry Mario&#44; but [blank] is in another castle.
ADM,t,0,1,STOP OR I WILL [blank].
ADM,t,0,1,Stop&#44; drop&#44; and [blank].
ADM,t,0,1,Take [blank]&#44; it will last longer.
ADM,t,0,1,Tastes like [blank].
ADM,t,0,1,The best part of waking up is [blank] in your cup.
ADM,t,0,1,The government of Japan recently passed a law that effectively forbids all forms of [blank].
ADM,t,0,1,The Himalayas are filled with many perils&#44; such as [blank].
ADM,t,2,3,The Holy Trinity: [blank]&#44; [blank]&#44; and [blank]!
ADM,t,0,1,The primitive villagers were both shocked and amazed when I showed them [blank].
ADM,t,0,1,The road to success is paved with [blank].
ADM,t,0,1,The sad truth is&#44; that at the edge of the universe&#44; there is nothing but [blank].
ADM,t,0,1,The seldomly mentioned 4th little pig built his house out of [blank].
ADM,t,0,1,The Xbox One&#39;s DRM policy isn&#39;t half as bad as [blank].
ADM,t,0,1,There are guilty pleasures. And then there&#39;s [blank].
ADM,t,0,1,There&#39;s [blank] in my soup.
ADM,t,0,1,Think before you [blank].
ADM,t,0,1,TotalBiscuit&#39;s top hat is actually [blank]. 
ADM,t,0,1,Truly and without question&#44; [blank] is the manliest of all men.
ADM,t,0,1,Vegeta&#44; what does the scouter say?
ADM,t,0,1,WANTED: $50&#44;000&#44;000&#44;000 reward for the apprehension of[blank].
ADM,t,0,1,We&#39;ll always have [blank].
ADM,t,0,1,Welcome to my secret lair on [blank].
ADM,t,0,1,What can you always find in between the couch cushions?
ADM,t,0,1,What do I keep hidden in the crawlspace?
ADM,t,0,1,What doesn&#39;t work that way?
ADM,t,0,1,What have you accomplished today?
ADM,t,0,1,What is the meaning of life?
ADM,t,0,1,What is the next great Kickstarter project?
ADM,t,0,1,What is the saddest thing you&#39;ve ever seen?
ADM,t,0,1,What is the worst thing anyone could say in front of the police?
ADM,t,0,1,What is your favorite book?
ADM,t,0,1,What is your mating call?
ADM,t,0,1,What made you happy today?
ADM,t,0,1,What mildy annoyed you today?
ADM,t,0,1,What the fuck is wrong with you?
ADM,t,0,1,What will Xyzzy take over the world with?
ADM,t,0,1,What will YouTube add in its next unneeded update?
ADM,t,0,1,What would you taste like?
ADM,t,0,2,When I was a kid&#44; all we had in Lunchables were three [blank] and [blank].
ADM,t,0,1,When it comes to Japanese cuisine&#44; there&#39;s simply nothing better than [blank].
ADM,t,0,1,When North Korea gets [blank]&#44; it will be the end of the world.
ADM,t,0,1,Whenever I&#39;m splashed with cold water&#44; I turn into [blank].
ADM,t,0,1,Who knew I&#39;d be able to make a living off of [blank]?
ADM,t,0,1,Who let the dogs out?
ADM,t,0,1,Who needs a bidet when you have [blank]?
ADM,t,0,1,Who the hell do you think I am?!
ADM,t,0,1,Who would have guessed that the alien invasion would be easily thwarted by [blank].
ADM,t,0,1,Who&#39;s an asshole?
ADM,t,0,2,Why are there six [blank] when there are only four [blank]?
ADM,t,0,1,Why are you frothing with rage?
ADM,t,0,1,With Democrats and Republicans in a dead heat&#44; the election was snatched by [blank] party.
AI,t,0,1,All attempts at [blank]&#44; have met with failure and crippling economic sanctions.
AI,t,0,1,At camp&#44; we&#39;d scare each other by telling stories about [blank] around the fire.
AI,t,0,1,Choosy Moms Choose [blank].
AI,t,0,1,Despite our Administration&#39;s best efforts&#44; we are still incapable of [blank].
AI,t,2,2,Eating [blank] gave me [blank].
AI,t,0,2,I wouldn&#39;t [blank] you with [blank].
AI,t,0,2,Show me on [blank]&#44; where he [blank].
AI,t,0,1,Technology improves every day. One day soon&#44; surfing the web will be replaced by [blank].
AI,t,0,1,The reason I go to church is to learn about [blank].
AN,t,0,2,[blank] vs. [blank]. BEST. FIGHT. EVER.
AN,t,0,1,[blank]. BELIEVE IT!
AN,t,0,1,[blank]. Goddammit&#44; Japan.
AN,t,0,1,[blank]. HE DEDD.
AN,t,0,1,[blank]. Only on Toonami
AN,t,0,1,[blank]. So kawaii!! &lt;3 &lt;3
AN,t,0,1,[blank]. That is the kind of man I was.
AN,t,0,1,[blank]. YOU SHOULD BE WATCHING.
AN,t,0,2,After a long&#44; arduous battle&#44; [blank] finally met their end by [blank].
AN,t,0,1,After years of searching&#44; the crew of the Thousand Sunny finally found out that the One Piece is actually [blank].
AN,t,0,2,Animation studio [blank] is perhaps best known for [blank].
AN,t,0,1,Behold the name of my Zanpakuto&#44; [blank]!
AN,t,0,1,By far the best panel at any anime convention is the one for [blank].
AN,t,0,1,Cards Against Anime: It&#39;s more fun than [blank]!
AN,t,0,1,Chicks. Dig. [blank]. <i>Nice.</i>
AN,t,0,1,Coming to Neon Alley: [blank]&#44; completely UNCUT &amp; UNCENSORED.
AN,t,0,1,Congratulations&#44; [blank].
AN,t,0,1,Cooking is so fun! Cooking is so fun! Now it&#39;s time to take a break and see what we have done! [blank]. YAY! IT&#39;S READY!!
AN,t,0,1,Digimon! Digivolve to: [blank]-mon!
AN,t,0,1,Don&#39;t worry&#44; he&#39;s okay! He survived thanks to [blank].
AN,t,0,1,Dr. Black Jack&#44; please hurry! The patient is suffering from a terminal case of [blank]!
AN,t,2,3,Dreaming! Don&#39;t give it up [blank]! Dreaming! Don&#39;t give it up [blank]! Dreaming! Don&#39;t give it up [blank]!
AN,t,0,1,Every now and then&#44; I like to participate in the time-honored Japanese tradition of [blank].
AN,t,0,2,Fresh from Japan: The new smash hit single by [blank] titled [blank].
AN,t,0,2,From the creators of Tiger &amp; Bunny: [blank] &amp; [blank]!!
AN,t,2,3,From the twisted mind of Nabeshin: An anime about [blank]&#44; [blank]&#44; and [blank].
AN,t,0,1,Hayao Miyazaki&#39;s latest family film is about a young boy befriending [blank].
AN,t,0,1,He might just save the universe&#44; if he only had some [blank]!
AN,t,0,1,How did I avoid your attack? Simple. By [blank].
AN,t,0,1,I am in despair! [blank] has left me in despair!
AN,t,0,1,I have never in my life laughed harder than the first time I watched [blank].
AN,t,0,1,I know of opinions and all that&#44; but I just don&#39;t understand how anyone could actually enjoy [blank].
AN,t,0,2,I want to be the very best&#44; like no one ever was! [blank] is my real test&#44; [blank] is my cause!
AN,t,0,1,I&#39;M-A FIRIN&#39; MAH [blank]!
AN,t,0,1,I&#39;m sorry! I&#39;m sorry! I didn&#39;t mean to accidentally walk in on you while you were [blank]!
AN,t,0,1,If I was a magical girl&#44; my cute mascot sidekick would be [blank].
AN,t,0,1,If you ask me&#44; there need to be more shows about [blank].
AN,t,0,1,In the future of 199X&#44; the barrier between our world and the demon world is broken&#44; and thousands of monsters invade our realm to feed upon [blank].
AN,t,0,1,In the latest chapter of Golgo 13&#44; he kills his target with [blank].
AN,t,0,1,In the latest chapter of Toriko&#44; our hero hunts down&#44; kills&#44; and eats a creature made entirely of [blank].
AN,t,2,3,In the latest episode of Case Closed&#44; Conan deduces that it was [blank] who killed [blank] because of [blank].
AN,t,0,1,In the name of the moon&#44; I will punish [blank]!
AN,t,2,3,In this episode of Master Keaton&#44; Keaton builds [blank] out of [blank] and [blank].
AN,t,0,1,In truth&#44; the EVA units are actually powered by the souls of [blank].
AN,t,2,3,Just announced: The brand new anime adaptation of [blank]&#44; starring [blank] as the voice of [blank].
AN,t,0,1,Karaoke night! I&#39;m totally gonna sing my favorite song&#44; [blank].
AN,t,0,1,Lupin the III&#39;s latest caper involves him trying to steal [blank].
AN,t,0,1,Make a contract with me&#44; and become [blank]!
AN,t,2,3,Make a love triangle.
AN,t,0,2,Make a yaoi shipping.
AN,t,0,1,Mamoru Oshii&#39;s latest film is a slow-paced&#44; two hour-long cerebral piece about the horrors of [blank].
AN,t,0,1,Mom&#44; I swear! Despite its name&#44; [blank] is NOT a porno!
AN,t,0,1,My [blank] is the [blank] that will pierce the heavens!!  <i>*same white card used for both blanks*</i>
AN,t,0,2,My favorite episode of [blank] is the one with [blank].
AN,t,0,2,My favorite hentai is the one where [blank] is held down and violated by [blank].
AN,t,0,1,New from Studio GAINAX: [blank] the Animation.
AN,t,0,1,No matter how many times I see it&#44; [blank] always brings a tear to my eye.
AN,t,0,2,No matter how you look at it&#44; ultimately [blank] is responsible for [blank].
AN,t,0,1,Nothing ruins a good anime faster than [blank].
AN,t,0,1,Now! Face my ultimate attack!
AN,t,0,1,Of my entire collection&#44; my most prized possession is [blank].
AN,t,0,1,Okay&#44; I&#39;ll admit it. I would totally go gay for [blank].
AN,t,0,2,On the mean streets of Tokyo&#44; everyone knows that [blank] is the leader of the [blank][blank] Gang.
AN,t,0,2,On the next episode of Dragon Ball Z&#44; [blank] is forced to do the fusion dance with [blank].
AN,t,0,1,On the next episode of Dragon Ball Z&#44; Goku has a fierce battle with [blank].
AN,t,0,1,One thing you almost never see in anime is [blank].
AN,t,0,1,People die when they are [blank].
AN,t,0,1,Real men watch [blank].
AN,t,0,1,S-Shut up!! I-It&#39;s not like I&#39;m [blank] or anything.
AN,t,0,1,Sasuke has [blank] implants.
AN,t,0,1,She&#39;ll thaw out if you try [blank].
AN,t,0,1,So just who is this Henry Goto fellow&#44; anyway?
AN,t,0,2,So wait&#44; [blank] was actually [blank]? Wow&#44; I didn&#39;t see that one coming!
AN,t,0,1,So&#44; what have you learned from all of this?
AN,t,0,1,Someday when I have kids&#44; I want to share with them the joys of [blank].
AN,t,0,1,Take this! My love&#44; my anger&#44; and all of my [blank]!
AN,t,0,1,The best English dub I&#39;ve ever heard is the one for [blank].
AN,t,0,2,The best part of my [blank] costume is [blank].
AN,t,0,2,The English dub of [blank] sucks worse than [blank].
AN,t,0,1,The government of Japan recently passed a law that effectively forbids all forms of [blank].
AN,t,0,1,The inspiration behind the latest hit show is [blank].
AN,t,0,1,The most annoying kind of anime fans are [blank].
AN,t,0,1,The most overused anime cliche is [blank].
AN,t,0,1,The new Gurren Lagann blurays from Aniplex will literally cost you [blank].
AN,t,0,2,The new manga from [blank] is about a highschool girl discovering [blank].
AN,t,0,1,The next big Tokusatsu show: &#34;Super Sentai [blank] Ranger!&#34;
AN,t,0,1,The rarest Pok&eacute;mon in my collection is [blank].
AN,t,0,1,The show was great&#44; until [blank] showed up.
AN,t,0,1,The World Line was changed when I sent a D-mail to myself about [blank].
AN,t,0,1,There are guilty pleasures. And then there&#39;s [blank].
AN,t,0,1,THIS [blank] HAS BEEN PASSED DOWN THE ARMSTRONG FAMILY LINE FOR GENERATIONS!!!
AN,t,0,2,This [blank] of mine glows with an awesome power! Its [blank] tells me to defeat you!
AN,t,0,2,This doujinshi I just bought has [blank] and [blank] getting it on&#44; hardcore.
AN,t,0,1,This is our final battle. Mark my words&#44; I will defeat you&#44; [blank]!
AN,t,0,1,This morning&#44; hundreds of Japanese otaku lined up outside their favorite store to buy the limited collector&#39;s edition of [blank].
AN,t,0,1,This year&#44; I totally lucked out and found [blank] in the dealer&#39;s room.
AN,t,0,1,This year&#44; I&#39;m totally gonna cosplay as [blank].
AN,t,0,1,To save the world&#44; you must collect all 7 [blank].
AN,t,0,1,Truly and without question&#44; [blank] is the manliest of all men.
AN,t,0,1,Using my power of Geass&#44; I command you to do... THIS!
AN,t,0,1,Vegeta&#44; what does the scouter say?
AN,t,0,1,WANTED: $50&#44;000&#44;000&#44;000 reward for the apprehension of[blank].
AN,t,0,1,Watch it! Or I&#39;ll take your [blank].
AN,t,0,1,Welcome home&#44; Master! Is there anything your servant girl can bring you today?
AN,t,0,1,What do I hate most about anime?
AN,t,0,1,What do I love most about anime?
AN,t,0,1,What is mo&eacute;?
AN,t,0,1,When Henry Goto is alone and thinks that no one&#39;s looking&#44; he secretly enjoys [blank].
AN,t,0,1,When I found all 7 Dragon Balls&#44; Shenron granted me my wish for [blank].
AN,t,0,1,When it comes to hentai&#44; nothing gets me hotter than [blank].
AN,t,0,1,When it comes to Japanese cuisine&#44; there&#39;s simply nothing better than [blank].
AN,t,0,1,Whenever I&#39;m splashed with cold water&#44; I turn into [blank].
AN,t,0,1,While writing Dragon Ball&#44; Akira Toriyama would occasionally take a break from working to enjoy [blank].
AN,t,0,2,Who are you callin&#39; [blank] so short he can&#39;t see over his own [blank]?!?!
AN,t,0,1,Who placed first in the most recent Shonen Jump popularity poll?
AN,t,0,1,Who the hell do you think I am?!
AN,t,0,1,Yo-Ho-Ho! He took a bite of [blank].
AN,t,0,1,Yoko Kanno&#39;s latest musical score features a song sung entirely by [blank].
AN,t,0,1,You are already [blank].
AN,t,0,1,You guys are so wrong. Obviously&#44; [blank] is best waifu.
AN,t,0,1,You see&#44; I&#39;m simply [blank].
AN,t,0,1,You used [blank]. It&#39;s super effective!
ANX1,t,0,2,&#34;[blank].&#34;<br>&#34;What the hell&#44; man?!&#34;<br>&#34;[blank].&#34;<br>&#34;Oh&#44; okay.&#34;
ANX1,t,0,1,After eating a Devil Fruit&#44; I now have the power of [blank].
ANX1,t,0,1,And from Kyoto Animation&#44; a show about cute girls doing [blank].
ANX1,t,0,1,Anime has taught me that classic literature can always be improved by adding [blank].
ANX1,t,0,1,As part of a recent promotion&#44; Japanese KFCs are now dressing their Colonel Sanders statues up as [blank].
ANX1,t,0,1,Attention&#44; duelists: My hair is [blank].
ANX1,t,0,1,Behold! My trap card&#44; [blank]!
ANX1,t,0,1,By far&#44; the most mind-bogglingly awesome thing I&#39;ve ever seen in anime is [blank].
ANX1,t,0,1,Don&#39;t stand behind him&#44; if you value your [blank].
ANX1,t,2,3,Fighting [blank] by moonlight! Winning [blank] by daylight! Never running from a real fight! She is the one named [blank]!
ANX1,t,0,1,I&#39;ve always wanted to become a voice actor&#44; so I could play the role of [blank].
ANX1,t,0,1,If the anime industry is dying&#44; what will be the final nail in it&#39;s coffin?
ANX1,t,0,2,It has been said... That there are entire forests of [blank]&#44; made from the sweetest [blank].
ANX1,t,0,1,IT&#39;S [blank] TIME!
ANX1,t,0,1,It&#39;s no secret.  Deep down&#44; everybody wants to fuck [blank].
ANX1,t,0,1,Ladies and gentlemen&#44; I give you [blank]... COVERED IN BEES!!!
ANX1,t,0,1,Madoka Kyouno&#39;s nickname for Muginami&#39;s older brother is [blank].
ANX1,t,0,1,My Little Sister Can&#39;t Be [blank]!
ANX1,t,0,1,My love for you is like [blank].  BERSERKER!
ANX1,t,0,1,No matter how I look at it&#44; it&#39;s your fault I&#39;m not [blank]!
ANX1,t,0,1,That&#39;s not a squid!  It&#39;s [blank]!
ANX1,t,0,2,The Chocolate Underground stopped the Good For You Party by capturing their [blank] and exposing their leader as [blank].
ANX1,t,2,3,The court finds the defendant&#44; [blank]&#44; guilty of [blank]&#44; and sentences them to a lifetime of [blank].
ANX1,t,0,1,The mo&eacute; debate was surprisingly civil until someone mentioned [blank].
ANX1,t,0,1,They are the prey&#44; and we are the [blank].
ANX1,t,0,1,What do otaku smell like?
ANX1,t,0,1,What does Alucard have nightmares about?
ANX1,t,0,1,What the hell is &#34;Juvijuvibro&#34;?!
ANX1,t,0,1,Who cares about the printing press&#44; did that medieval peasant girl just invent [blank]?!
BOX,f,0,1,Why can&#39;t I sleep at night?
CAE,t,0,2,[blank] has won the national Equestrian award for [blank].
CAE,t,0,1,[blank] is best pony.
CAE,t,2,3,[blank] should [blank] [blank].
CAE,t,0,1,[blank]. That is my fetish.
CAE,t,0,1,[blank]? That&#39;s future Spike&#39;s problem.
CAE,t,0,1,After a wild night of crusading&#44; Applebloom learned that [blank] was her super special talent.
CAE,t,0,1,After a wild night of partying&#44; Fluttershy awakens to find [blank] in her bed.
CAE,t,0,1,After living for thousands of years Celestia can only find pleasure in [blank].
CAE,t,0,1,Aloe and Lotus have been experimenting with a radical treatment that utilizes the therapeutic properties of [blank].
CAE,t,0,1,And that&#39;s how Equestria was made!
CAE,t,0,1,Big Mac sleeps soundly whenever [blank] is with him.
CAE,t,0,1,BUY SOME [blank]!
CAE,t,0,1,CUTIE MARK CRUSADERS; [blank]! YAY!
CAE,t,0,1,Daring Do and the quest for [blank].
CAE,t,0,1,Dear Princess Celestia&#44; Today I learned about [blank]. 
CAE,t,0,1,Despite everypony&#39;s expectations&#44; Sweetie Belle&#39;s cutie mark ended up being [blank].
CAE,t,0,1,Equestrian researchers have discovered that [blank] is The 7th Element of Harmony.
CAE,t,0,1,Every Morning&#44; Princess Celestia Rises [blank].
CAE,t,0,1,Everypony was shocked to discover that Scootaloo&#39;s cutie mark was [blank].
CAE,t,0,1,Giggle at [blank]!
CAE,t,0,2,I never knew what [blank] could be&#44; until you all shared its [blank] with me.
CAE,t,0,1,I&#39;d like to be [blank].
CAE,t,2,3,In a fit of rage&#44; Princess Celestia sent [blank] to the [blank] for [blank].
CAE,t,0,2,In a stroke of unparalleled evil&#44; Discord turned [blank] into [blank].
CAE,t,0,1,In a world without humans&#44; saddles are actually made for [blank].
CAE,t,0,1,Inexplicably&#44; the only thing the parasprites wouldn&#39;t eat was [blank].
CAE,t,0,1,It turns out Hitler&#39;s favorite pony was [blank].
CAE,t,0,1,It&#39;s not a boulder! It&#39;s [blank]!
CAE,t,0,1,Lauren Faust was shocked to find [blank] in her mailbox.
CAE,t,0,1,Luna didn&#39;t help in the fight against Chrysalis because she was too busy with [blank].
CAE,t,0,1,My cutie mark would be [blank].
CAE,t,0,1,Not many people know that Tara Strong is also the voice of [blank].
CAE,t,0,1,Nothing makes Pinkie smile more than [blank].
CAE,t,0,2,Once upon a time&#44; the land of Equestria was ruled by [blank] and [blank].
CAE,t,0,1,Ponyville is widely known for [blank].
CAE,t,0,1,Ponyville was shocked to discover [blank] in Fluttershy&#39;s shed.
