deck_name,deck_code,watermark,is_custom_deck,draw_before,number_to_play,card_text
First Version,CAHMAIN1,CAH,f,0,1,I got 99 problems but ____ ain&#39;t one.
First Version,CAHMAIN1,CAH,f,0,2,I never truly understood ____ until I encountered ____.
First Version,CAHMAIN1,CAH,f,0,1,I wish I hadn&#39;t lost the instruction manual for ____.
First Version,CAHMAIN1,CAH,f,0,1,I&#39;m sorry&#44; Professor&#44; but I couldn&#39;t complete my homework because of ____.
First Version,CAHMAIN1,CAH,f,0,1,In 1&#44;000 years&#44; when paper money is but a distant memory&#44; ____ will be our currency.
First Version,CAHMAIN1,CAH,f,0,2,In a world ravaged by ____&#44; our only solace is ____.
First Version,CAHMAIN1,CAH,f,0,1,In an attempt to reach a wider audience&#44; the Smithsonian Museum of Natural History has opened an interactive exhibit on ____.
First Version,CAHMAIN1,CAH,f,0,2,In his new summer comedy&#44; Rob Schneider is ____ trapped in the body of ____.
First Version,CAHMAIN1,CAH,f,0,2,In M. Night Shyamalan&#39;s new movie&#44; Bruce Willis discovers that ____ had really been ____ all along.
First Version,CAHMAIN1,CAH,f,0,1,In Michael Jackson&#39;s final moments&#44; he thought about ____.
First Version,CAHMAIN1,CAH,f,0,1,In the new Disney Channel Original Movie&#44; Hannah Montana struggles with ____ for the first time.
First Version,CAHMAIN1,CAH,f,0,1,Instead of coal&#44; Santa now gives the bad children ____.
First Version,CAHMAIN1,CAH,f,0,1,It&#39;s a pity that kids these days are all getting involved with ____.
First Version,CAHMAIN1,CAH,f,0,1,Life was difficult for cavemen before ____.
First Version,CAHMAIN1,CAH,f,0,2,Lifetime&reg; presents ____&#44; the story of ____.
First Version,CAHMAIN1,CAH,f,0,1,Major League Baseball has banned ____ for giving players an unfair advantage.
First Version,CAHMAIN1,CAH,f,2,3,Make a haiku.
First Version,CAHMAIN1,CAH,f,0,1,MTV&#39;s new reality show features eight washed-up celebrities living with ____.
First Version,CAHMAIN1,CAH,f,0,1,Next from J.K. Rowling: Harry Potter and the Chamber of ____.
First Version,CAHMAIN1,CAH,f,0,2,Rumor has it that Vladimir Putin&#39;s favorite delicacy is ____ stuffed with ____.
First Version,CAHMAIN1,CAH,f,0,1,Studies show that lab rats navigate mazes 50% faster after being exposed to ____.
First Version,CAHMAIN1,CAH,f,0,2,That&#39;s right&#44; I killed ____. How&#44; you ask? ____.
First Version,CAHMAIN1,CAH,f,0,1,The class field trip was completely ruined by ____.
First Version,CAHMAIN1,CAH,f,0,1,This is the way the world ends \ This is the way the world ends \ Not with a bang but with ____.
First Version,CAHMAIN1,CAH,f,0,1,TSA guidelines now prohibit ____ on airplanes.
First Version,CAHMAIN1,CAH,f,0,1,War!<br><br>What is it good for?
First Version,CAHMAIN1,CAH,f,0,1,What am I giving up for Lent?
First Version,CAHMAIN1,CAH,f,0,1,What are my parents hiding from me?
First Version,CAHMAIN1,CAH,f,0,1,What did I bring back from Mexico?
First Version,CAHMAIN1,CAH,f,0,1,What did the U.S. airdrop to the children of Afghanistan?
First Version,CAHMAIN1,CAH,f,0,1,What did Vin Diesel eat for dinner?
First Version,CAHMAIN1,CAH,f,0,1,What do old people smell like? 
First Version,CAHMAIN1,CAH,f,0,1,What does Dick Cheney prefer?
First Version,CAHMAIN1,CAH,f,0,1,What don&#39;t you want to find in your Chinese food?
First Version,CAHMAIN1,CAH,f,0,1,What ended my last relationship?
First Version,CAHMAIN1,CAH,f,0,1,What gets better with age?
First Version,CAHMAIN1,CAH,f,0,1,What gives me uncontrollable gas?
First Version,CAHMAIN1,CAH,f,0,1,What helps Obama unwind?
First Version,CAHMAIN1,CAH,f,0,1,What is Batman&#39;s guilty pleasure?
First Version,CAHMAIN1,CAH,f,0,1,What never fails to liven up the party?
First Version,CAHMAIN1,CAH,f,0,1,What will always get you laid?
First Version,CAHMAIN1,CAH,f,0,1,What will I bring back in time to convince people that I am a powerful wizard?
First Version,CAHMAIN1,CAH,f,0,1,What would grandma find disturbing&#44; yet oddly charming?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s a girl&#39;s best friend?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s my anti-drug?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s my secret power?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s Teach for America using to inspire inner city students to succeed?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s that smell?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s that sound?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s the crustiest?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s the most emo?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s the new fad diet?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s the next Happy Meal&reg; toy?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s the next superhero?
First Version,CAHMAIN1,CAH,f,0,1,What&#39;s there a ton of in heaven?
First Version,CAHMAIN1,CAH,f,0,1,When I am a billionare&#44; I shall erect a 50-foot statue to commemorate ____.
First Version,CAHMAIN1,CAH,f,0,1,When I am the President of the United States&#44; I will create the Department of ____.
First Version,CAHMAIN1,CAH,f,0,2,When I was tripping on acid&#44; ____ turned into ____.
First Version,CAHMAIN1,CAH,f,0,1,When I&#39;m in prison&#44; I&#39;ll have ____ smuggled in.
First Version,CAHMAIN1,CAH,f,0,1,When Pharaoh remained unmoved&#44; Moses called down a plague of ____.
First Version,CAHMAIN1,CAH,f,0,1,While the United States raced the Soviet Union to the moon&#44; the Mexican government funneled millions of pesos into research on ____.
First Version,CAHMAIN1,CAH,f,0,1,White people like ____.
First Version,CAHMAIN1,CAH,f,0,1,Who stole the cookies from the cookie jar?
First Version,CAHMAIN1,CAH,f,0,1,Why am I sticky?
First Version,CAHMAIN1,CAH,f,0,1,Why can&#39;t I sleep at night?
First Version,CAHMAIN1,CAH,f,0,1,Why do I hurt all over?
